,trade_date,000001.SH_total_mv,000005.SH_total_mv,000006.SH_total_mv,000016.SH_total_mv,000300.SH_total_mv,000905.SH_total_mv,399001.SZ_total_mv,399005.SZ_total_mv,399006.SZ_total_mv,399016.SZ_total_mv,000001.SH_float_mv,000005.SH_float_mv,000006.SH_float_mv,000016.SH_float_mv,000300.SH_float_mv,000905.SH_float_mv,399001.SZ_float_mv,399005.SZ_float_mv,399006.SZ_float_mv,399016.SZ_float_mv,000001.SH_total_share,000005.SH_total_share,000006.SH_total_share,000016.SH_total_share,000300.SH_total_share,000905.SH_total_share,399001.SZ_total_share,399005.SZ_total_share,399006.SZ_total_share,399016.SZ_total_share,000001.SH_float_share,000005.SH_float_share,000006.SH_float_share,000016.SH_float_share,000300.SH_float_share,000905.SH_float_share,399001.SZ_float_share,399005.SZ_float_share,399006.SZ_float_share,399016.SZ_float_share,000001.SH_free_share,000005.SH_free_share,000006.SH_free_share,000016.SH_free_share,000300.SH_free_share,000905.SH_free_share,399001.SZ_free_share,399005.SZ_free_share,399006.SZ_free_share,399016.SZ_free_share,000001.SH_turnover_rate,000005.SH_turnover_rate,000006.SH_turnover_rate,000016.SH_turnover_rate,000300.SH_turnover_rate,000905.SH_turnover_rate,399001.SZ_turnover_rate,399005.SZ_turnover_rate,399006.SZ_turnover_rate,399016.SZ_turnover_rate,000001.SH_turnover_rate_f,000005.SH_turnover_rate_f,000006.SH_turnover_rate_f,000016.SH_turnover_rate_f,000300.SH_turnover_rate_f,000905.SH_turnover_rate_f,399001.SZ_turnover_rate_f,399005.SZ_turnover_rate_f,399006.SZ_turnover_rate_f,399016.SZ_turnover_rate_f,000001.SH_pe_x,000005.SH_pe,000006.SH_pe,000016.SH_pe,000300.SH_pe_x,000905.SH_pe_x,399001.SZ_pe,399005.SZ_pe,399006.SZ_pe_x,399016.SZ_pe,000001.SH_pe_ttm,000005.SH_pe_ttm,000006.SH_pe_ttm,000016.SH_pe_ttm,000300.SH_pe_ttm,000905.SH_pe_ttm,399001.SZ_pe_ttm,399005.SZ_pe_ttm,399006.SZ_pe_ttm,399016.SZ_pe_ttm,000001.SH_pb,000005.SH_pb,000006.SH_pb,000016.SH_pb,000300.SH_pb,000905.SH_pb,399001.SZ_pb,399005.SZ_pb,399006.SZ_pb,399016.SZ_pb,000001.SH_close,000300.SH_close,000905.SH_close,399006.SZ_close,HIS.HI_close,SPX.GI_close,CBA00301.CS_close,000001.SH_pe_y,000300.SH_pe_y,000905.SH_pe_y,399006.SZ_pe_y,HSI.HI_pe
0,2004-01-02,3295001954556.0,84488334094.0,72671750639.0,1491745231086.0,,,398966849637.0,,,,794485057722.0,35025004718.0,17338865045.0,248423284293.0,,,126209669385.0,,,,453941610705.0,13105108632.0,10130361353.0,213338895962.0,,,43325294602.0,,,,107781268279.0,5565062971.0,2780240191.0,31694459693.0,,,14081216421.0,,,,103266916406.0,5455516995.0,2753344561.0,30774766868.0,,,13323176619.0,,,,1.52,0.61,0.83,2.54,,,1.26,,,,1.59,0.62,0.84,2.62,,,1.34,,,,45.34,75.86,152.73,34.76,,,27.7,,,,37.11,114.94,100.83,26.24,,,20.97,,,,2.77,2.45,2.92,2.9,,,2.69,,,,,,,,,,,,,,,
1,2004-01-05,3414251582888.0,84647602488.0,72627064300.0,1588883517023.0,,,412204929761.0,,,,814776830933.0,35028412394.0,17368943098.0,262829607747.0,,,130404015475.0,,,,454201360772.0,13105108632.0,10130361353.0,213573349168.0,,,43325746064.0,,,,108041018346.0,5565062971.0,2780240191.0,31928912899.0,,,14081667883.0,,,,103266916406.0,5455516995.0,2753344561.0,30774766868.0,,,13323176619.0,,,,2.6,1.09,1.19,4.53,,,2.8,,,,2.72,1.11,1.2,4.7,,,2.96,,,,46.98,76.01,152.64,37.02,,,28.62,,,,38.46,115.16,100.77,27.95,,,21.66,,,,2.87,2.45,2.92,3.09,,,2.78,,,,,,,,,,,,,,,
2,2004-01-06,3426006806191.0,84264688372.0,74207440711.0,1597906392664.0,,,416119794843.0,,,,818535266780.0,34552921307.0,17636690348.0,266283931870.0,,,132599449285.0,,,,454205923518.0,13105108632.0,10130361353.0,213577909608.0,,,43401257754.0,,,,108045581092.0,5565062971.0,2780240191.0,31933473339.0,,,14157179573.0,,,,103266916406.0,5455516995.0,2753344561.0,30774766868.0,,,13323176619.0,,,,2.97,1.1,1.75,5.32,,,2.64,,,,3.1,1.12,1.76,5.52,,,2.81,,,,47.14,75.66,155.96,37.23,,,28.89,,,,38.59,114.64,102.97,28.11,,,21.87,,,,2.88,2.44,2.98,3.11,,,2.81,,,,,,,,,,,,,,,
3,2004-01-07,3452768538291.0,84527094588.0,74266927830.0,1608097172268.0,,,422655046458.0,,,,827217238346.0,34619436496.0,17651383488.0,268893194177.0,,,134778902523.0,,,,454355923518.0,13105108632.0,10130361353.0,213577909608.0,,,43401257754.0,,,,108095581092.0,5565062971.0,2780240191.0,31933473339.0,,,14157179573.0,,,,103316916406.0,5455516995.0,2753344561.0,30774766868.0,,,13323176619.0,,,,2.78,1.38,1.26,4.3,,,3.12,,,,2.91,1.41,1.27,4.46,,,3.32,,,,47.48,75.9,156.08,37.47,,,29.35,,,,38.87,115.0,103.05,28.29,,,22.21,,,,2.91,2.45,2.98,3.13,,,2.85,,,,,,,,,,,,,,,
4,2004-01-08,3499751716452.0,85874726495.0,75512180069.0,1621955039141.0,,,426629536052.0,,,,841909380061.0,35118693290.0,17891516041.0,273079573773.0,,,136072132837.0,,,,454355923518.0,13105108632.0,10130361353.0,213577909608.0,,,43401257754.0,,,,108095581092.0,5565062971.0,2780240191.0,31933473339.0,,,14157179573.0,,,,103316916406.0,5455516995.0,2753344561.0,30774766868.0,,,13323176619.0,,,,2.54,1.37,1.42,3.38,,,2.23,,,,2.66,1.39,1.43,3.5,,,2.36,,,,48.13,77.11,158.7,37.79,,,29.62,,,,39.4,116.83,104.78,28.53,,,22.42,,,,2.94,2.49,3.03,3.15,,,2.88,,,,,,,,,,,,,,,
5,2004-01-09,3435284367709.0,86659471613.0,75105338561.0,1576489560769.0,,,419583264145.0,,,,831965775970.0,35652426116.0,17848608342.0,268107215632.0,,,133519967728.0,,,,454355923518.0,13105108632.0,10130361353.0,213577909608.0,,,43401257754.0,,,,108095581092.0,5565062971.0,2780240191.0,31933473339.0,,,14157179573.0,,,,103316916406.0,5455516995.0,2753344561.0,30774766868.0,,,13323176619.0,,,,2.88,1.67,1.85,4.22,,,2.71,,,,3.02,1.7,1.87,4.38,,,2.88,,,,47.24,77.81,157.85,36.73,,,29.13,,,,38.67,117.9,104.21,27.73,,,22.05,,,,2.89,2.51,3.02,3.07,,,2.83,,,,,,,,,,,,,,,
6,2004-01-12,3515964933508.0,87554608726.0,75853848812.0,1628834557040.0,,,429198999000.0,,,,848902326825.0,35915601741.0,18075297801.0,276701818836.0,,,136380948443.0,,,,454355923518.0,13105108632.0,10130361353.0,213577909608.0,,,43401257754.0,,,,108095581092.0,5565062971.0,2780240191.0,31933473339.0,,,14157179573.0,,,,103316916406.0,5455516995.0,2753344561.0,30774766868.0,,,13323176619.0,,,,2.09,1.58,1.17,3.2,,,1.88,,,,2.19,1.61,1.18,3.33,,,1.99,,,,48.35,78.62,159.42,37.95,,,29.8,,,,39.58,119.11,105.25,28.65,,,22.55,,,,2.96,2.53,3.05,3.17,,,2.9,,,,,,,,,,,,,,,
7,2004-01-13,3499151535543.0,88388346074.0,77582729820.0,1596712376794.0,,,427439659534.0,,,,851868248172.0,36234941135.0,18509092597.0,273280088049.0,,,135920313293.0,,,,454355923518.0,13105108632.0,10130361353.0,213577909608.0,,,43401257754.0,,,,108095581092.0,5565062971.0,2780240191.0,31933473339.0,,,14157179573.0,,,,103316916406.0,5455516995.0,2753344561.0,30774766868.0,,,13323176619.0,,,,2.36,1.34,1.93,3.08,,,2.13,,,,2.47,1.37,1.95,3.2,,,2.27,,,,48.11,79.37,163.05,37.2,,,29.68,,,,39.39,120.25,107.65,28.09,,,22.46,,,,2.94,2.56,3.11,3.11,,,2.89,,,,,,,,,,,,,,,
8,2004-01-14,3452614353907.0,87945471239.0,77563063016.0,1560445258327.0,,,424307135408.0,,,,844231541201.0,36101053476.0,18434810495.0,267651499937.0,,,134611585318.0,,,,454355923518.0,13105108632.0,10130361353.0,213577909608.0,,,43401257754.0,,,,108095581092.0,5565062971.0,2780240191.0,31933473339.0,,,14157179573.0,,,,103316916406.0,5455516995.0,2753344561.0,30774766868.0,,,13323176619.0,,,,1.87,1.11,1.47,2.23,,,1.74,,,,1.95,1.13,1.48,2.31,,,1.84,,,,47.47,78.97,163.01,36.36,,,29.46,,,,38.86,119.65,107.62,27.45,,,22.3,,,,2.91,2.55,3.11,3.04,,,2.86,,,,,,,,,,,,,,,
9,2004-01-15,3442681476298.0,87387951739.0,78163923134.0,1555290053186.0,,,422354080665.0,,,,842236014356.0,35819601577.0,18563168259.0,267069528008.0,,,134430152976.0,,,,454623748608.0,13105108632.0,10130361353.0,213659768298.0,,,43401257754.0,,,,108252439782.0,5565062971.0,2780240191.0,32015332029.0,,,14157179573.0,,,,103391916406.0,5455516995.0,2753344561.0,30774766868.0,,,13323176619.0,,,,1.71,1.27,1.47,1.93,,,1.81,,,,1.79,1.3,1.49,2.01,,,1.92,,,,47.24,78.47,164.27,36.24,,,28.09,,,,38.73,118.89,108.46,27.36,,,21.92,,,,2.9,2.53,3.14,3.03,,,2.84,,,,,,,,,,,,,,,
