nohup: 忽略输入
0, training_loss: 0.8789496834131123,  总市值：0.01/10000.0  |  累计收益率：-100.0%  |  累计年化收益率：-94.74% 
test process:  总市值：10870.15/12563.13  |  累计收益率：8.7%  |  累计年化收益率：1.01% 
1, training_loss: 1.263459490431701,  总市值：0.03/10000.0  |  累计收益率：-100.0%  |  累计年化收益率：-93.35% 
2, training_loss: 1.3561395575658526,  总市值：0.11/10000.0  |  累计收益率：-100.0%  |  累计年化收益率：-91.43% 
3, training_loss: 1.5063635793278176,  总市值：0.16/10000.0  |  累计收益率：-100.0%  |  累计年化收益率：-90.64% 
4, training_loss: 1.527257481033655,  总市值：0.32/10000.0  |  累计收益率：-100.0%  |  累计年化收益率：-89.18% 
5, training_loss: 1.5657322480260514,  总市值：0.72/10000.0  |  累计收益率：-99.99%  |  累计年化收益率：-87.15% 
test process:  总市值：10870.08/12563.07  |  累计收益率：8.7%  |  累计年化收益率：1.01% 
6, training_loss: 1.6639947800563755,  总市值：0.63/10000.0  |  累计收益率：-99.99%  |  累计年化收益率：-87.5% 
7, training_loss: 1.759843894822584,  总市值：1.24/10000.0  |  累计收益率：-99.99%  |  累计年化收益率：-85.54% 
8, training_loss: 1.9270750758550566,  总市值：1.73/10000.0  |  累计收益率：-99.98%  |  累计年化收益率：-84.48% 
