nohup: 忽略输入
0,   总市值：82.09/10000.0  |  累计收益率：-99.18%  |  累计年化收益率：-44.03% 
1,   总市值：97.5/10000.0  |  累计收益率：-99.02%  |  累计年化收益率：-42.86% 
2,   总市值：122.83/10000.0  |  累计收益率：-98.77%  |  累计年化收益率：-41.24% 
3,   总市值：109.45/10000.0  |  累计收益率：-98.91%  |  累计年化收益率：-42.06% 
4,   总市值：117.57/10000.0  |  累计收益率：-98.82%  |  累计年化收益率：-41.55% 
test process:  总市值：11334.09/15104.21  |  累计收益率：13.34%  |  累计年化收益率：1.53% 
5,   总市值：155.48/10000.0  |  累计收益率：-98.45%  |  累计年化收益率：-39.54% 
6,   总市值：154.39/10000.0  |  累计收益率：-98.46%  |  累计年化收益率：-39.59% 
7,   总市值：124.7/10000.0  |  累计收益率：-98.75%  |  累计年化收益率：-41.13% 
8,   总市值：153.7/10000.0  |  累计收益率：-98.46%  |  累计年化收益率：-39.63% 
9,   总市值：201.21/10000.0  |  累计收益率：-97.99%  |  累计年化收益率：-37.63% 
test process:  总市值：11389.86/14988.9  |  累计收益率：13.9%  |  累计年化收益率：1.59% 
10,   总市值：185.96/10000.0  |  累计收益率：-98.14%  |  累计年化收益率：-38.22% 
